"","Asian","Black","Hispanic","None Provided","Other","White"
"1",402,942,656,1,222,15234
"2",281,673,366,0,158,10392
"3",397,911,530,0,214,13024
"4",389,897,553,1,207,13540
"5",563,1186,790,5,272,17981
"6",352,898,569,15,201,12676
"7",488,1085,731,24,192,16104
"8",327,861,538,18,183,12135
"9",522,1035,681,0,228,15736
"10",444,1099,657,3,236,15780
"11",439,940,594,23,163,13735
"12",376,875,490,24,184,13271
"13",421,992,569,31,218,15023
"14",419,1113,670,34,217,14810
"15",440,1059,605,39,251,14964
"16",424,1109,630,46,243,14135
"17",523,1089,699,57,234,17619
"18",509,1067,732,63,233,16141
"19",560,1181,832,79,243,17858
"20",582,1239,776,52,259,18751
"21",611,1170,772,50,229,18251
"22",455,972,572,68,223,15423
"23",441,891,618,42,214,14633
"24",407,830,543,38,183,12512
"25",454,974,635,49,229,15789
"26",328,854,459,32,169,12129
"27",509,1157,685,33,223,15954
"28",482,1091,618,31,234,14784
"29",633,1179,742,42,253,17898
"30",459,976,633,40,203,14410
"31",417,904,608,49,154,12836
"32",513,990,609,44,188,14626
"33",460,958,615,62,182,15495
"34",413,840,517,82,216,14299
"35",417,792,546,33,156,12645
"36",246,539,355,52,113,8449
"37",258,565,340,132,160,9408
"38",276,788,426,121,148,10540
"39",400,972,601,143,194,11853
"40",400,1057,610,188,224,12420
"41",644,1322,819,332,276,17316
"42",474,1059,695,494,175,14020
"43",521,1270,818,935,236,16314
"44",581,1236,818,1311,248,14811
"45",442,1020,602,1401,197,12831
"46",383,836,549,2228,175,11340
"47",185,536,337,3867,116,6639
"48",130,385,228,6576,59,4470
"49",142,347,223,8202,61,4429
"50",153,466,221,7260,69,4874
"51",164,505,279,7912,77,4944
"52",201,622,392,9419,95,6203
"53",271,712,446,11211,129,7211
"54",241,565,331,8493,78,6169
"55",242,587,432,9125,95,7286
"56",236,505,432,7114,73,5611
"57",235,486,371,8380,97,6479
"58",226,555,357,8467,97,6692
"59",202,472,300,7851,84,5524
"60",147,406,285,6335,76,4853
