"year","month","total_stops"
2011,"1",17457
2011,"2",11870
2011,"3",15076
2011,"4",15587
2011,"5",20797
2011,"6",14711
2011,"7",18624
2011,"8",14062
2011,"9",18202
2011,"10",18219
2011,"11",15894
2011,"12",15220
2012,"1",17254
2012,"2",17263
2012,"3",17358
2012,"4",16587
2012,"5",20221
2012,"6",18745
2012,"7",20753
2012,"8",21659
2012,"9",21083
2012,"10",17713
2012,"11",16839
2012,"12",14513
2013,"1",18130
2013,"2",13971
2013,"3",18561
2013,"4",17240
2013,"5",20747
2013,"6",16721
2013,"7",14968
2013,"8",16970
2013,"9",17772
2013,"10",16367
2013,"11",14589
2013,"12",9754
2014,"1",10863
2014,"2",12299
2014,"3",14163
2014,"4",14899
2014,"5",20709
2014,"6",16917
2014,"7",20094
2014,"8",19005
2014,"9",16493
2014,"10",15511
2014,"11",11680
2014,"12",11848
2015,"1",13404
2015,"2",13043
2015,"3",13881
2015,"4",16932
2015,"5",19980
2015,"6",15877
2015,"7",17767
2015,"8",13971
2015,"9",16048
2015,"10",16394
2015,"11",14433
2015,"12",12102
