"","year","month","total_stops"
"1","2011","01",17457
"2","2011","02",11870
"3","2011","03",15076
"4","2011","04",15587
"5","2011","05",20797
"6","2011","06",14711
"7","2011","07",18624
"8","2011","08",14062
"9","2011","09",18202
"10","2011","10",18219
"11","2011","11",15894
"12","2011","12",15220
"13","2012","01",17254
"14","2012","02",17263
"15","2012","03",17358
"16","2012","04",16587
"17","2012","05",20221
"18","2012","06",18745
"19","2012","07",20753
"20","2012","08",21659
"21","2012","09",21083
"22","2012","10",17713
"23","2012","11",16839
"24","2012","12",14513
"25","2013","01",18130
"26","2013","02",13971
"27","2013","03",18561
"28","2013","04",17240
"29","2013","05",20747
"30","2013","06",16721
"31","2013","07",14968
"32","2013","08",16970
"33","2013","09",17772
"34","2013","10",16367
"35","2013","11",14589
"36","2013","12",9754
"37","2014","01",10863
"38","2014","02",12299
"39","2014","03",14163
"40","2014","04",14899
"41","2014","05",20709
"42","2014","06",16917
"43","2014","07",20094
"44","2014","08",19005
"45","2014","09",16493
"46","2014","10",15511
"47","2014","11",11680
"48","2014","12",11848
"49","2015","01",13404
"50","2015","02",13043
"51","2015","03",13881
"52","2015","04",16932
"53","2015","05",19980
"54","2015","06",15877
"55","2015","07",17767
"56","2015","08",13971
"57","2015","09",16048
"58","2015","10",16394
"59","2015","11",14433
"60","2015","12",12102
